datetime,symbol,action,quantity,price,cash_before,cash_after,realized_pnl,reason
2024-04-29 10:30:00,GOOGL,buy,8406.0,169.06,4737239.24,3316120.9,,
2024-05-01 10:30:00,GOOGL,auto_close,8406.0,169.06,4737239.24,4737239.24,,
2024-05-02 10:30:00,AMZN,buy,7858.0,180.85,4737239.24,3316119.89,,
2024-05-06 10:30:00,AAPL,buy,7793.0,182.35,4737239.24,3316185.64,,
2024-05-14 10:30:00,SPY,buy,2727.0,521.11,4737239.24,3316172.31,,
2024-05-28 10:30:00,SPY,close,2727.0,530.27,4737239.24,4737239.24,-24979.37,
2024-05-29 10:30:00,AAPL,auto_close,7793.0,182.35,4737239.24,9089612.85,,
2024-05-29 10:30:00,AMZN,auto_close,7858.0,180.85,4737239.24,9089612.85,,
2024-06-13 10:30:00,AMZN,buy,14653.0,186.09,9089612.85,6362836.14,,
2024-06-14 10:30:00,SPY,buy,5041.0,540.88,9089612.85,6363036.75,,
2024-06-17 10:30:00,SPY,close,5041.0,542.08,9089612.85,9089612.85,-6049.29,
2024-06-18 10:30:00,AMZN,auto_close,14653.0,186.09,9089612.85,14496703.84,,
2024-06-21 10:30:00,NVDA,buy,34211.0,127.12,14496703.84,10147801.43,,
2024-06-21 10:30:00,SPY,buy,7988.0,544.4,14496703.84,10148036.45,,
2024-06-24 10:30:00,SPY,close,7988.0,544.33,14496703.84,14496703.84,559.02,
2024-06-25 10:30:00,NVDA,auto_close,34211.0,127.12,14496703.84,23060975.59,,
2024-07-31 10:30:00,AMZN,buy,37386.0,185.05,23060975.59,16142696.17,,
2024-08-02 10:30:00,NVDA,buy,66675.0,103.76,23060975.59,16142777.44,,
2024-08-02 10:30:00,META,buy,14147.0,489.0,23060975.59,16143092.59,,
2024-08-05 10:30:00,AMZN,auto_close,37386.0,185.05,23060975.59,23060975.59,,
2024-08-06 10:30:00,NVDA,auto_close,66675.0,103.76,23060975.59,23060975.59,,
2024-08-06 10:30:00,META,auto_close,14147.0,489.0,23060975.59,23060975.59,,
2024-08-23 10:30:00,SPY,buy,12364.0,559.53,23060975.59,16142946.3,,
2024-08-28 10:30:00,GOOGL,buy,41918.0,165.04,23060975.59,16142829.15,,
2024-08-28 10:30:00,SPY,close,12364.0,561.21,23060975.59,23060975.59,-20771.79,
2024-08-29 10:30:00,GOOGL,auto_close,41918.0,165.04,23060975.59,29999776.3,,
2024-08-29 10:30:00,NVDA,buy,74158.0,121.36,29999776.3,20999961.37,,
2024-08-29 10:30:00,GOOGL,buy,54774.0,164.31,29999776.3,20999860.49,,
2024-09-03 10:30:00,NVDA,auto_close,74158.0,121.36,29999776.3,29999776.3,,
2024-09-04 10:30:00,GOOGL,auto_close,54774.0,164.31,29999776.3,29999776.3,,
2024-09-11 10:30:00,GOOGL,buy,60031.0,149.92,29999776.3,20999928.89,,
2024-09-24 10:30:00,GOOGL,auto_close,60031.0,149.92,29999776.3,29999776.3,,
2024-10-22 10:30:00,META,buy,15671.0,574.29,29999776.3,21000078.05,,
2024-10-29 10:30:00,NVDA,buy,64152.0,140.29,29999776.3,20999892.65,,
2024-10-31 10:30:00,GOOGL,buy,51983.0,173.13,29999776.3,20999959.25,,
2024-11-01 10:30:00,NVDA,auto_close,64152.0,140.29,29999776.3,29999776.3,,
2024-11-04 09:30:00,AMZN,buy,45812.0,196.45,29999776.3,21000009.04,,
2024-11-07 09:30:00,META,auto_close,15671.0,574.29,29999776.3,29999776.3,,
2024-11-13 09:30:00,SPY,buy,15065.0,597.37,29999776.3,21000397.32,,
2024-11-22 09:30:00,GOOGL,auto_close,51983.0,173.13,29999776.3,29999776.3,,
2024-11-22 09:30:00,NVDA,buy,61672.0,145.93,29999776.3,20999981.79,,
2024-11-22 09:30:00,SPY,close,15065.0,593.66,29999776.3,29999776.3,55891.55,
2024-11-25 09:30:00,NVDA,auto_close,61672.0,145.93,29999776.3,48025492.79,,
2024-11-25 09:30:00,AMZN,auto_close,45812.0,196.45,29999776.3,48025492.79,,
2024-12-10 09:30:00,META,buy,23329.0,617.56,48025492.79,33618435.61,,
2024-12-10 09:30:00,SPY,buy,23799.0,605.37,48025492.79,33618292.28,,
2024-12-12 09:30:00,SPY,close,23799.0,606.58,48025492.79,48025492.79,-28797.2,
2024-12-13 09:30:00,META,auto_close,23329.0,617.56,48025492.79,77193754.12,,
2024-12-19 09:30:00,SPY,buy,39160.0,591.36,77193754.12,54036097.09,,
2024-12-23 09:30:00,SPY,close,39160.0,590.89,77193754.12,77193754.12,18404.63,
